date_time,city_area,state,country,ufo_shape,encounter_length,described_encounter_length,description,date_documented,latitude,longitude,month,day,year,time
5/19/2010 23:12,trapani (tp) (italy),,it,formation,3600,1 h,Due sfere infuocate su Marsala.  ((NUFORC Note:  See &quot;Description&quot; for translation from Italian.  PD)),11/21/2010,38.017618,12.537202,5,19,2010,23:12
5/19/2011 22:50,darlington (uk/england),,gb,egg/teardrop,180,3 minutes,Two orange oibjects travelling 12 feet apart across the night sky- never seen this before,5/29/2011,50.45,-3.716667,5,19,2011,22:50
5/19/2012 16:00,creston (canada),bc,ca,round,30,30 seconds,((LENS FLARES))  I was taking photos of the sky&#44 not knowing what I had caught until I obseverd them weeks later&#33 A blue glowing glob&#44,6/5/2012,49.1,-116.516667,5,19,2012,16:00
5/19/2012 21:10,greenville (canada),sk,ca,light,180,3 minutes,Several orange lights flying in a V-pattern&#44 some chasing each other,5/29/2012,34.852618,-82.39401,5,19,2012,21:10
5/19/2013 22:00,toronto (canada),on,ca,light,20,20 seconds,2 oranges lights going across the sky at constant speed not an aircraft or fireworks,6/2/2013,43.666667,-79.416667,5,19,2013,22:00
5/19/2013 22:45,coboconk (canada),on,ca,round,30,30 seconds,One round pulsating orange light flying slowly north over Balsam Lake; disappeared after 30 seconds,6/2/2013,44.666667,-78.8,5,19,2013,22:45
5/20/1979 1:00,cold lake (canada),ab,ca,formation,45,45 seconds,v formation of lights in outer space turning 90 degrees,5/15/2006,54.465,-110.183056,5,20,1979,1:00
5/20/1999 21:15,uk/england,,gb,cylinder,20,20 seconds,UFO with single bright flashing light flew very fast and very low over horizon .,7/6/2010,52.355518,-1.17432,5,20,1999,21:15
5/20/2000 21:50,yukon (canada),yk,ca,round,180,2 -3 minutes,My husband and I was walking outside and we looked up to stargaze&#44 and we noticed a yellowish-glowing light moving out of the Northwest,6/21/2000,64.282327,-135,5,20,2000,21:50
5/20/2001 1:30,yarmouth (canada),ns,ca,light,18000,5 hrs,Four lights over Yarmouth Harbour that would blink off and on and move at rapid speeds and then remain motionless,8/5/2001,43.833333,-66.116667,5,20,2001,1:30
5/20/2001 2:00,ottawa (canada),on,ca,light,7200,about 2 hours,2 Bright lights over Ottawa&#44Ont.,8/5/2001,45.416667,-75.7,5,20,2001,2:00
5/20/2001 18:00,knaresborough&#44 north yorkshire (uk/england),,gb,formation,300,3-5 minutes,there was 2 redish orange glowing spheres spinning round themselves heading my way,9/17/2003,54.011022,-1.47102,5,20,2001,18:00
5/20/2001 23:00,london (uk/england),,gb,changing,10800,3hrs.,An amazing and beautiful collection of bright lights that spoke kindly and manipulated matter.,8/5/2001,51.514125,-0.093689,5,20,2001,23:00
